marine_inland_char,region,pop,anon_iso3code,anon_country_name,country_count,extrapolated
inland,Africa,13665200.6,iso3code_218,country_name_102,0.5,FALSE
inland,Africa,2359713.66,iso3code_045,country_name_227,0.5,FALSE
inland,Africa,13106782.8,iso3code_095,country_name_095,0.5,FALSE
inland,Africa,87088.8693,iso3code_136,country_name_091,0.5,FALSE
inland,Africa,5670032.4,iso3code_230,country_name_010,0.5,FALSE
inland,Africa,609219.414,iso3code_235,country_name_047,0.5,FALSE
inland,Africa,154169.524,iso3code_179,country_name_197,0.5,FALSE
inland,Africa,165203.905,iso3code_054,country_name_073,0.5,FALSE
inland,Africa,5830930.65,iso3code_093,country_name_154,0.5,FALSE
inland,Africa,74959.6538,iso3code_241,country_name_198,0.5,FALSE
inland,Africa,1621245.77,iso3code_132,country_name_104,0.5,FALSE
inland,Africa,847490.038,iso3code_159,country_name_163,0.5,FALSE
inland,Africa,748996.838,iso3code_162,country_name_200,1,FALSE
inland,Africa,2276924.44,iso3code_005,country_name_212,0.5,FALSE
inland,Africa,196471.358,iso3code_006,country_name_158,0.5,FALSE
inland,Africa,4366238.52,iso3code_020,country_name_001,1,FALSE
inland,Africa,17404734.1,iso3code_176,country_name_143,0.5,FALSE
inland,Africa,938701.906,iso3code_172,country_name_096,0.5,FALSE
inland,Africa,843254.681,iso3code_070,country_name_211,1,FALSE
inland,Africa,11524342.7,iso3code_197,country_name_145,0.5,FALSE
inland,Africa,17070561.7,iso3code_088,country_name_245,1,FALSE
inland,Africa,1134568.53,iso3code_053,country_name_117,0.5,FALSE
inland,Africa,1396559.39,iso3code_164,country_name_229,1,FALSE
inland,Americas,1952726.34,iso3code_207,country_name_151,0.5,FALSE
inland,Americas,33907105.5,iso3code_245,country_name_061,0.5,FALSE
inland,Americas,921047.679,iso3code_075,country_name_071,0.5,FALSE
inland,Americas,27563830.6,iso3code_138,country_name_149,0.5,FALSE
inland,Americas,994839.083,iso3code_120,country_name_013,0.5,FALSE
inland,Americas,83729529.1,iso3code_001,country_name_126,0.5,FALSE
inland,Asia,7525169.93,iso3code_130,country_name_031,0.5,FALSE
inland,Asia,157997539,iso3code_038,country_name_169,0.5,FALSE
inland,Asia,9361993.21,iso3code_222,country_name_208,0.5,FALSE
inland,Asia,78890417.9,iso3code_191,country_name_054,0.5,FALSE
inland,Asia,6548185.74,iso3code_056,country_name_175,0.5,FALSE
inland,Asia,312020.117,iso3code_196,country_name_140,1,FALSE
inland,Asia,3773260.77,iso3code_160,country_name_179,0.5,FALSE
inland,Asia,27127821,iso3code_104,country_name_236,0.5,FALSE
inland,Asia,4733522.56,iso3code_143,country_name_008,0.5,FALSE
inland,Asia,16488655.5,iso3code_063,country_name_252,0.5,FALSE
inland,Asia,859813.186,iso3code_125,country_name_166,0.5,FALSE
inland,Europe,833599.889,iso3code_219,country_name_011,0.5,FALSE
inland,Europe,1295136.28,iso3code_036,country_name_074,0.5,FALSE
inland,Europe,1544106.39,iso3code_014,country_name_147,0.5,FALSE
marine,Africa,328236.033,iso3code_218,country_name_102,0.5,FALSE
marine,Africa,537104.593,iso3code_045,country_name_227,0.5,FALSE
marine,Africa,14915746.6,iso3code_095,country_name_095,0.5,FALSE
marine,Africa,715092.21,iso3code_136,country_name_091,0.5,FALSE
marine,Africa,8054829.47,iso3code_230,country_name_010,0.5,FALSE
marine,Africa,3514074.6,iso3code_235,country_name_047,0.5,FALSE
marine,Africa,1877354.23,iso3code_179,country_name_197,0.5,FALSE
marine,Africa,1143784.24,iso3code_054,country_name_073,0.5,FALSE
marine,Africa,3041719.87,iso3code_093,country_name_154,0.5,FALSE
marine,Africa,2350831.01,iso3code_241,country_name_198,0.5,FALSE
marine,Africa,15647347.6,iso3code_132,country_name_104,0.5,FALSE
marine,Africa,6117728.65,iso3code_159,country_name_163,0.5,FALSE
marine,Africa,7720547.22,iso3code_005,country_name_212,0.5,FALSE
marine,Africa,1605107.96,iso3code_006,country_name_158,0.5,FALSE
marine,Africa,23646530.9,iso3code_176,country_name_143,0.5,FALSE
marine,Africa,6521625.13,iso3code_172,country_name_096,0.5,FALSE
marine,Africa,2267930.01,iso3code_249,country_name_217,1,FALSE
marine,Africa,82249.1856,iso3code_111,country_name_170,1,FALSE
marine,Africa,10592162.8,iso3code_197,country_name_145,0.5,FALSE
marine,Africa,12785462.1,iso3code_053,country_name_117,0.5,FALSE
marine,Americas,11952074.7,iso3code_207,country_name_151,0.5,FALSE
marine,Americas,50775055.2,iso3code_245,country_name_061,0.5,FALSE
marine,Americas,283862.875,iso3code_029,country_name_107,1,FALSE
marine,Americas,3835357,iso3code_075,country_name_071,0.5,FALSE
marine,Americas,191504.705,iso3code_032,country_name_064,1,FALSE
marine,Americas,15121271.3,iso3code_138,country_name_149,0.5,FALSE
marine,Americas,14211855.4,iso3code_120,country_name_013,0.5,FALSE
marine,Americas,84260145.2,iso3code_001,country_name_126,0.5,FALSE
marine,Americas,73332.875,iso3code_003,country_name_213,1,FALSE
marine,Asia,36453242.4,iso3code_130,country_name_031,0.5,FALSE
marine,Asia,197790342,iso3code_038,country_name_169,0.5,FALSE
marine,Asia,121790244,iso3code_222,country_name_208,0.5,FALSE
marine,Asia,120208973,iso3code_191,country_name_054,0.5,FALSE
marine,Asia,5149386.46,iso3code_056,country_name_175,0.5,FALSE
marine,Asia,10592331.9,iso3code_160,country_name_179,0.5,FALSE
marine,Asia,86417.2188,iso3code_074,country_name_045,1,FALSE
marine,Asia,76720698.2,iso3code_104,country_name_236,0.5,FALSE
marine,Asia,16898775.9,iso3code_143,country_name_008,0.5,FALSE
marine,Asia,33238365.5,iso3code_063,country_name_252,0.5,FALSE
marine,Asia,30290235.3,iso3code_125,country_name_166,0.5,FALSE
marine,Europe,21640463.5,iso3code_219,country_name_011,0.5,FALSE
marine,Europe,25072789.9,iso3code_036,country_name_074,0.5,FALSE
marine,Europe,3586633.36,iso3code_014,country_name_147,0.5,FALSE
marine,Oceania,845345.278,iso3code_166,country_name_049,1,FALSE
marine,Oceania,49040.5776,iso3code_170,country_name_024,1,FALSE
marine,Oceania,85147.6096,iso3code_009,country_name_070,1,FALSE
marine,Oceania,263146.791,iso3code_171,country_name_134,1,FALSE
marine,Oceania,196123.111,iso3code_216,country_name_224,1,FALSE
inland,Africa,44037163.9045,NA,NA,12,TRUE
inland,Americas,47784222.465909004,NA,NA,10.5,TRUE
inland,Asia,46004306.561468996,NA,NA,16.5,TRUE
inland,Europe,74789437.0513,NA,NA,18,TRUE
inland,Oceania,3808191.05401,NA,NA,2,TRUE
marine,Africa,57390468.294,NA,NA,13,TRUE
marine,Americas,74211394.4542,NA,NA,14.5,TRUE
marine,Asia,208352334.8782,NA,NA,18.5,TRUE
marine,Europe,106071202.78999999,NA,NA,14,TRUE
marine,Oceania,23399884.855299998,NA,NA,4,TRUE
